	ACCN	#of members	final_clus_rep
33502	YP_008320577.1	15	YP_008320577.1
112546	YP_010684275.1	15	YP_010684275.1
90587	YP_009904448.1	15	YP_009904448.1
32352	YP_008240047.1	15	YP_008240047.1
109494	YP_010670343.1	15	YP_010670343.1
68926	YP_009608380.1	15	YP_009608380.1
41193	YP_009100050.1	15	YP_009100050.1
32378	YP_008240323.1	15	YP_008240323.1
32350	YP_008240016.1	15	YP_008240016.1
68006	YP_009600734.1	15	YP_009600734.1
53876	YP_009226542.1	15	YP_009226542.1
80771	YP_009815292.1	15	YP_009815292.1
112628	YP_010684990.1	15	YP_010684990.1
99581	YP_010111783.1	15	YP_010111783.1
80773	YP_009815299.1	15	YP_009815299.1
12957	YP_002284387.1	15	YP_002284387.1
42180	YP_009111137.1	15	YP_009111137.1
63940	YP_009482138.1	15	YP_009482138.1
12955	YP_002284382.1	15	YP_002284382.1
63767	YP_009481286.1	15	YP_009481286.1
100183	YP_010114486.1	15	YP_010114486.1
107830	YP_010663098.1	15	YP_010663098.1
34036	YP_008436456.1	15	YP_008436456.1
109968	YP_010671607.1	15	YP_010671607.1
15360	YP_003942.1	15	YP_003942.1
63553	YP_009465805.1	15	YP_009465805.1
91361	YP_009949127.1	15	YP_009949127.1
23140	YP_006907449.1	15	YP_006907449.1
33748	YP_008430734.1	15	YP_008430734.1
54585	YP_009254003.1	15	YP_009254003.1
26166	YP_007007928.1	15	YP_007007928.1
26869	YP_007236974.1	15	YP_007236974.1
5235	NP_740442.2	15	5GKA_C
16273	YP_004009502.1	15	YP_004009502.1
109236	YP_010669380.1	15	YP_010669380.1
23223	YP_006907719.1	15	YP_006907719.1
34151	YP_008438172.1	15	YP_008438172.1
90170	YP_009901564.1	15	YP_009901564.1
33744	YP_008430716.1	15	YP_008430716.1
35453	YP_009001127.1	15	YP_009001127.1
78371	YP_009803562.1	15	YP_009803562.1
26866	YP_007236945.1	15	YP_007236945.1
62448	YP_009408221.1	15	YP_009408221.1
2540	NP_050650.1	15	NP_050650.1
66588	YP_009595521.1	15	YP_009595521.1
23210	YP_006907670.1	15	YP_006907670.1
100673	YP_010247046.1	15	YP_010247046.1
26865	YP_007236941.1	15	YP_007236941.1
35764	YP_009002991.1	15	YP_009002991.1
22636	YP_006561035.1	15	YP_006561035.1
5419	NP_803404.1	15	NP_803404.1
34269	YP_008493015.1	15	YP_008493015.1
26862	YP_007236919.1	15	YP_007236919.1
112061	YP_010679703.1	15	YP_010679703.1
110125	YP_010672055.1	15	YP_010672055.1
5592	NP_817539.1	15	NP_817539.1
109264	YP_010669584.1	15	YP_010669584.1
77223	YP_009798666.1	15	YP_009798666.1
113011	YP_010738663.1	15	YP_010738663.1
118059	YP_803451.1	15	YP_803451.1
76313	YP_009794754.1	15	YP_009794754.1
26220	YP_007010299.1	15	YP_007010299.1
15520	YP_003969669.1	15	YP_003969669.1
98170	YP_010104392.1	15	YP_010104392.1
53514	YP_009224692.1	15	YP_009224692.1
248	3J26_A	15	3J26_A
29344	YP_007676381.1	15	YP_007676381.1
53510	YP_009224683.1	15	YP_009224683.1
91754	YP_009953961.1	15	YP_009953961.1
5305	NP_776077.1	15	NP_776077.1
22680	YP_006561224.1	15	YP_006561224.1
53508	YP_009224664.1	15	YP_009224664.1
33299	YP_008319383.2	15	YP_008319383.2
108529	YP_010667148.1	15	YP_010667148.1
33555	YP_008408709.1	15	YP_008408709.1
33556	YP_008408715.1	15	YP_008408715.1
68632	YP_009604183.1	15	YP_009604183.1
62975	YP_009448655.1	15	YP_009448655.1
16191	YP_003987405.1	15	YP_003987405.1
62793	YP_009448378.1	15	YP_009448378.1
77659	YP_009800853.1	15	YP_009800853.1
77652	YP_009800805.1	15	YP_009800805.1
54538	YP_009252242.1	15	YP_009252242.1
81676	YP_009819476.1	15	YP_009819476.1
108560	YP_010667203.1	15	YP_010667203.1
89402	YP_009882224.1	15	YP_009882224.1
91320	YP_009927223.1	15	YP_009927223.1
80947	YP_009816193.1	15	YP_009816193.1
92331	YP_009987445.1	15	YP_009987445.1
61384	YP_009352687.1	15	YP_009352687.1
74968	YP_009785815.1	15	YP_009785815.1
56646	YP_009285218.1	15	YP_009285218.1
22050	YP_006395321.1	15	YP_006395321.1
114160	YP_073521.1	15	YP_073521.1
114154	YP_068388.1	15	YP_068388.1
18232	YP_004376274.1	15	YP_004376274.1
84297	YP_009837116.1	15	YP_009837116.1
84369	YP_009837530.1	15	YP_009837530.1
29245	YP_007676026.1	15	YP_007676026.1
104210	YP_010597831.1	15	YP_010597831.1
84419	YP_009837663.1	15	YP_009837663.1
96763	YP_010087880.1	15	YP_010087880.1
47355	YP_009174842.1	15	YP_009174842.1
21284	YP_006347618.1	15	YP_006347618.1
92883	YP_010001296.1	15	YP_010001296.1
27272	YP_007348493.1	15	YP_007348493.1
18245	YP_004414820.1	15	YP_004414820.1
332	3UXU_A	15	3UXU_A
47173	YP_009174419.1	15	YP_009174419.1
92931	YP_010002139.1	15	YP_010002139.1
24009	YP_006990088.1	15	YP_006990088.1
48549	YP_009191433.1	15	YP_009191433.1
114437	YP_112539.1	15	YP_112539.1
38214	YP_009017036.1	15	YP_009017036.1
27319	YP_007348637.1	15	YP_007348637.1
56200	YP_009278708.1	15	YP_009278708.1
39622	YP_009044136.1	15	YP_009044136.1
47154	YP_009174367.1	15	YP_009174367.1
27309	YP_007348612.1	15	YP_007348612.1
48541	YP_009191340.1	15	YP_009191340.1
56117	YP_009277919.1	15	YP_009277919.1
45141	YP_009153014.1	15	YP_009153014.1
47163	YP_009174402.1	15	YP_009174402.1
48540	YP_009191339.1	15	YP_009191339.1
95	1VYX_A	15	1VYX_A
56151	YP_009278042.1	15	YP_009278042.1
102037	YP_010356147.1	15	YP_010356147.1
24013	YP_006990094.1	15	YP_006990094.1
55693	YP_009275690.1	15	YP_009275690.1
37427	YP_009013187.1	15	YP_009013187.1
105322	YP_010649993.1	15	YP_010649993.1
92849	YP_010000259.1	15	YP_010000259.1
44731	YP_009150573.1	15	YP_009150573.1
1169	NP_037664.1	15	NP_037664.1
73314	YP_009664979.1	15	YP_009664979.1
7954	YP_001285676.1	15	YP_001285676.1
23921	YP_006989043.1	15	YP_006989043.1
24428	YP_007003112.1	15	YP_007003112.1
105919	YP_010655199.1	15	YP_010655199.1
71801	YP_009622881.1	15	YP_009622881.1
1182	NP_037729.1	15	NP_037729.1
11046	YP_001671850.1	15	YP_001671850.1
48439	YP_009189825.1	15	YP_009189825.1
13463	YP_002727896.1	15	YP_002727896.1
106146	YP_010655680.1	15	YP_010655680.1
27228	YP_007348377.1	15	YP_007348377.1
49526	YP_009200891.1	15	YP_009200891.1
49529	YP_009200894.1	15	YP_009200894.1
9682	YP_001468630.1	15	YP_001468630.1
28858	YP_007674512.1	15	YP_007674512.1
105779	YP_010654082.1	15	YP_010654082.1
55527	YP_009274950.1	15	YP_009274950.1
10966	YP_001648161.1	15	YP_001648161.1
105693	YP_010652603.1	15	YP_010652603.1
14049	YP_003097450.1	15	YP_003097450.1
39060	YP_009036114.1	15	YP_009036114.1
3588	NP_149135.1	15	3JA4_A
56821	YP_009286806.1	15	YP_009286806.1
44968	YP_009151200.1	15	YP_009151200.1
71598	YP_009622081.1	15	YP_009622081.1
101003	YP_010299715.1	15	YP_010299715.1
37381	YP_009012513.1	15	YP_009012513.1
56839	YP_009287377.1	15	YP_009287377.1
55577	YP_009275193.1	15	YP_009275193.1
58066	YP_009302893.1	15	YP_009302893.1
9734	YP_001468772.1	15	YP_001468772.1
55559	YP_009275129.1	15	YP_009275129.1
105768	YP_010654038.1	15	YP_010654038.1
17700	YP_004322704.1	15	YP_004322704.1
56302	YP_009279850.1	15	YP_009279850.1
730	6NYP_E	15	6NYP_E
18696	YP_004678802.1	15	YP_004678802.1
70798	YP_009616906.1	15	YP_009616906.1
56475	YP_009282126.1	15	YP_009282126.1
18058	YP_004327172.1	15	YP_004327172.1
74051	YP_009703914.1	15	YP_009703914.1
101342	YP_010303463.1	15	YP_010303463.1
93407	YP_010050442.1	15	YP_010050442.1
18080	YP_004327291.1	15	YP_004327291.1
18082	YP_004327293.1	15	YP_004327293.1
93412	YP_010050525.1	15	YP_010050525.1
38474	YP_009021174.1	15	YP_009021174.1
114988	YP_214219.1	15	YP_214219.1
48736	YP_009194065.1	15	YP_009194065.1
38490	YP_009021390.1	15	YP_009021390.1
48930	YP_009195718.1	15	YP_009195718.1
48732	YP_009194059.1	15	YP_009194059.1
105071	YP_010649327.1	15	YP_010649327.1
56446	YP_009281715.1	15	YP_009281715.1
83897	YP_009834718.1	15	YP_009834718.1
48796	YP_009194161.1	15	YP_009194161.1
18075	YP_004327273.1	15	YP_004327273.1
18062	YP_004327183.1	15	YP_004327183.1
18073	YP_004327267.1	15	YP_004327267.1
48861	YP_009194372.1	15	YP_009194372.1
93358	YP_010049727.1	15	YP_010049727.1
18072	YP_004327259.1	15	YP_004327259.1
38406	YP_009019177.1	15	YP_009019177.1
18071	YP_004327250.1	15	YP_004327250.1
27861	YP_007392864.1	15	YP_007392864.1
93323	YP_010049631.1	15	YP_010049631.1
70834	YP_009617096.1	15	YP_009617096.1
18063	YP_004327187.1	15	YP_004327187.1
18069	YP_004327238.1	15	YP_004327238.1
14843	YP_003407091.1	15	YP_003407091.1
74156	YP_009777682.1	15	YP_009777682.1
18068	YP_004327225.1	15	YP_004327225.1
6786	NP_944374.1	15	NP_944374.1
104973	YP_010649121.1	15	YP_010649121.1
115059	YP_214433.1	15	YP_214433.1
104663	YP_010648419.1	15	YP_010648419.1
18918	YP_004782202.1	15	YP_004782202.1
74558	YP_009783994.1	15	YP_009783994.1
48996	YP_009196150.1	15	YP_009196150.1
73860	YP_009701866.1	15	YP_009701866.1
30880	YP_008058953.1	15	YP_008058953.1
115261	YP_224250.1	15	YP_224250.1
70665	YP_009615808.1	15	YP_009615808.1
114705	YP_164731.1	15	YP_164731.1
970	7MKB_C	15	7MKB_C
96323	YP_010085249.1	15	YP_010085249.1
14963	YP_003580001.1	15	YP_003580001.1
31365	YP_008059937.1	15	YP_008059937.1
38834	YP_009031778.1	15	YP_009031778.1
38313	YP_009017780.1	15	YP_009017780.1
17923	YP_004324290.1	15	YP_004324290.1
101127	YP_010302699.1	15	YP_010302699.1
46982	YP_009173760.1	15	YP_009173760.1
56356	YP_009279975.1	15	YP_009279975.1
14720	YP_003359093.1	15	YP_003359093.1
49192	YP_009198064.1	15	YP_009198064.1
74448	YP_009783369.1	15	YP_009783369.1
10788	YP_001542647.1	15	YP_001542647.1
115208	YP_224011.1	15	YP_224011.1
14886	YP_003429395.1	15	YP_003429395.1
29244	YP_007676023.1	15	YP_007676023.1
18915	YP_004782147.1	15	YP_004782147.1
18908	YP_004769550.1	15	7ELH_A
93528	YP_010050903.1	15	YP_010050903.1
6870	NP_945277.1	15	NP_945277.1
104652	YP_010648375.1	15	YP_010648375.1
104596	YP_010646480.1	15	YP_010646480.1
4455	NP_570570.1	15	NP_570570.1
10786	YP_001542638.1	15	YP_001542638.1
56595	YP_009284318.1	15	YP_009284318.1
6698	NP_943871.1	15	NP_943871.1
48590	YP_009191694.1	15	YP_009191694.1
56410	YP_009280634.1	15	YP_009280634.1
117302	YP_656576.1	15	YP_656576.1
10785	YP_001542637.1	15	YP_001542637.1
21217	YP_006201094.1	15	YP_006201094.1
31545	YP_008061036.1	15	YP_008061036.1
70048	YP_009612543.1	15	YP_009612543.1
113743	YP_024690.1	15	YP_024690.1
97379	YP_010092999.1	15	YP_010092999.1
450	4UCI_A	15	4UCI_A
24296	YP_007002489.1	15	YP_007002489.1
24298	YP_007002495.1	15	YP_007002495.1
75608	YP_009790302.1	15	YP_009790302.1
69433	YP_009610708.1	15	YP_009610708.1
55238	YP_009273839.1	15	YP_009273839.1
57290	YP_009291730.1	15	YP_009291730.1
60043	YP_009336614.1	15	6IIC_D
44099	YP_009143346.1	15	3JRV_A
97438	YP_010093478.1	15	YP_010093478.1
24300	YP_007002513.1	15	YP_007002513.1
94854	YP_010062451.1	15	YP_010062451.1
116903	YP_529839.1	15	YP_529839.1
72196	YP_009624609.1	15	YP_009624609.1
75644	YP_009790711.1	15	YP_009790711.1
57303	YP_009292004.1	15	YP_009292004.1
36840	YP_009009315.1	15	YP_009009315.1
36825	YP_009009260.1	15	YP_009009260.1
106410	YP_010656752.1	15	YP_010656752.1
87273	YP_009851034.1	15	YP_009851034.1
87271	YP_009851032.1	15	YP_009851032.1
13329	YP_002333627.1	15	YP_002333627.1
75484	YP_009789497.1	15	YP_009789497.1
59718	YP_009330094.1	15	YP_009330094.1
25030	YP_007005504.1	15	YP_007005504.1
78609	YP_009806663.1	15	YP_009806663.1
13349	YP_002364319.1	15	YP_002364319.1
113254	YP_010741147.1	15	YP_010741147.1
24291	YP_007002437.1	15	YP_007002437.1
97258	YP_010092228.1	15	YP_010092228.1
82780	YP_009824039.1	15	YP_009824039.1
23794	YP_006988253.1	15	YP_006988253.1
94940	YP_010064694.1	15	YP_010064694.1
57258	YP_009291401.1	15	YP_009291401.1
72490	YP_009635962.1	15	YP_009635962.1
94083	YP_010056750.1	15	YP_010056750.1
75252	YP_009788058.1	15	YP_009788058.1
40586	YP_009094251.1	15	YP_009094251.1
6294	NP_861878.1	15	NP_861878.1
69406	YP_009610348.1	15	YP_009610348.1
1431	NP_042090.1	15	NP_042090.1
24287	YP_007002427.1	15	YP_007002427.1
15264	YP_003858460.1	15	YP_003858460.1
87412	YP_009852416.1	15	YP_009852416.1
1486	NP_042735.1	15	5UA4_A
379	4GU3_A	15	4GU3_A
43732	YP_009134435.1	15	YP_009134435.1
60859	YP_009345468.1	15	YP_009345468.1
24310	YP_007002540.1	15	YP_007002540.1
55026	YP_009272977.1	15	YP_009272977.1
15262	YP_003858444.1	15	YP_003858444.1
29477	YP_007676828.1	15	YP_007676828.1
24303	YP_007002522.1	15	YP_007002522.1
76100	YP_009793055.1	15	YP_009793055.1
76101	YP_009793059.1	15	YP_009793059.1
76102	YP_009793060.1	15	YP_009793060.1
39283	YP_009041460.1	15	YP_009041460.1
106964	YP_010659275.1	15	YP_010659275.1
2	1A4T_B	15	1A4T_B
76153	YP_009793634.1	15	YP_009793634.1
106980	YP_010659309.1	15	YP_010659309.1
36538	YP_009006942.1	15	YP_009006942.1
43752	YP_009134589.1	15	YP_009134589.1
103348	YP_010359197.1	15	YP_010359197.1
36547	YP_009006974.1	15	YP_009006974.1
87348	YP_009851576.1	15	YP_009851576.1
85247	YP_009842232.1	15	YP_009842232.1
55141	YP_009273445.1	15	YP_009273445.1
113070	YP_010739470.1	15	YP_010739470.1
113068	YP_010739463.1	15	YP_010739463.1
113067	YP_010739442.1	15	YP_010739442.1
49879	YP_009203177.1	15	YP_009203177.1
113048	YP_010739100.1	15	YP_010739100.1
36795	YP_009008824.1	15	YP_009008824.1
36793	YP_009008787.1	15	YP_009008787.1
36792	YP_009008748.1	15	YP_009008748.1
36765	YP_009008433.1	15	YP_009008433.1
60555	YP_009342121.1	15	YP_009342121.1
15242	YP_003857206.1	15	YP_003857206.1
23701	YP_006987909.1	15	YP_006987909.1
49936	YP_009203783.1	15	YP_009203783.1
15248	YP_003858303.1	15	YP_003858303.1
3413	NP_078770.1	15	NP_078770.1
87264	YP_009851008.1	15	YP_009851008.1
39109	YP_009036704.1	15	YP_009036704.1
47906	YP_009187033.1	15	YP_009187033.1
18645	YP_004539048.1	15	YP_004539048.1
29857	YP_007877496.1	15	YP_007877496.1
103573	YP_010359943.1	15	YP_010359943.1
113591	YP_010750521.1	15	YP_010750521.1
14503	YP_003358434.1	15	YP_003358434.1
9642	YP_001468508.1	15	YP_001468508.1
72928	YP_009640010.1	15	YP_009640010.1
106147	YP_010655683.1	15	YP_010655683.1
84807	YP_009839723.1	15	YP_009839723.1
97199	YP_010091672.1	15	YP_010091672.1
93924	YP_010054781.1	15	YP_010054781.1
7408	YP_001039846.1	15	YP_001039846.1
7098	NP_958689.1	15	3J40_H
9669	YP_001468596.1	15	YP_001468596.1
57729	YP_009301790.1	15	YP_009301790.1
116204	YP_308884.1	15	YP_308884.1
9648	YP_001468543.1	15	YP_001468543.1
57118	YP_009290556.1	15	YP_009290556.1
113554	YP_010749748.1	15	YP_010749748.1
57737	YP_009301966.1	15	YP_009301966.1
39081	YP_009036300.1	15	YP_009036300.1
39083	YP_009036345.1	15	YP_009036345.1
93968	YP_010055176.1	15	YP_010055176.1
69465	YP_009611239.1	15	YP_009611239.1
57740	YP_009301996.1	15	YP_009301996.1
103553	YP_010359898.1	15	YP_010359898.1
14521	YP_003358586.1	15	YP_003358586.1
69448	YP_009610876.1	15	YP_009610876.1
117983	YP_803265.1	15	YP_803265.1
47905	YP_009186936.1	15	YP_009186936.1
82877	YP_009824837.1	15	YP_009824837.1
24284	YP_007002398.1	15	YP_007002398.1
3427	NP_108721.1	15	NP_108721.1
9633	YP_001468450.1	15	YP_001468450.1
24285	YP_007002401.1	15	YP_007002401.1
94023	YP_010056047.1	15	YP_010056047.1
14543	YP_003358823.1	15	YP_003358823.1
29867	YP_007877512.1	15	YP_007877512.1
97202	YP_010091699.1	15	YP_010091699.1
57546	YP_009300755.1	15	YP_009300755.1
492	5C2N_A	15	5C2N_A
26158	YP_007007866.1	14	YP_007007866.1
41750	YP_009103641.1	14	YP_009103641.1
65830	YP_009590813.1	14	YP_009590813.1
39076	YP_009036279.1	14	YP_009036279.1
20076	YP_004940264.1	14	YP_004940264.1
89999	YP_009887233.1	14	YP_009887233.1
20073	YP_004940256.1	14	YP_004940256.1
18097	YP_004327337.1	14	YP_004327337.1
57365	YP_009292394.1	14	YP_009292394.1
110075	YP_010671949.1	14	YP_010671949.1
89830	YP_009884853.1	14	YP_009884853.1
18098	YP_004327339.1	14	YP_004327339.1
38787	YP_009031282.1	14	YP_009031282.1
85031	YP_009841695.1	14	YP_009841695.1
86232	YP_009846168.1	14	YP_009846168.1
66473	YP_009595372.1	14	YP_009595372.1
26157	YP_007007856.1	14	YP_007007856.1
18382	YP_004421693.1	14	YP_004421693.1
57377	YP_009292442.1	14	YP_009292442.1
56976	YP_009288820.1	14	YP_009288820.1
99529	YP_010111522.1	14	YP_010111522.1
99504	YP_010111449.1	14	YP_010111449.1
18074	YP_004327270.1	14	YP_004327270.1
89395	YP_009882157.1	14	YP_009882157.1
24309	YP_007002539.1	14	YP_007002539.1
26163	YP_007007887.1	14	YP_007007887.1
39269	YP_009037420.1	14	YP_009037420.1
57026	YP_009289698.1	14	YP_009289698.1
26170	YP_007007943.1	14	YP_007007943.1
24230	YP_007002160.1	14	YP_007002160.1
4332	NP_536455.1	14	NP_536455.1
18079	YP_004327284.1	14	YP_004327284.1
65682	YP_009553297.1	14	YP_009553297.1
26162	YP_007007882.1	14	YP_007007882.1
24430	YP_007003119.1	14	YP_007003119.1
20062	YP_004940206.1	14	YP_004940206.1
65810	YP_009590724.1	14	YP_009590724.1
24286	YP_007002403.1	14	YP_007002403.1
56582	YP_009283953.1	14	YP_009283953.1
103463	YP_010359621.1	14	YP_010359621.1
10036	YP_001491693.1	14	YP_001491693.1
103652	YP_010360086.1	14	YP_010360086.1
56777	YP_009286170.1	14	YP_009286170.1
39054	YP_009036102.1	14	YP_009036102.1
24295	YP_007002447.1	14	YP_007002447.1
84853	YP_009840349.1	14	YP_009840349.1
39522	YP_009043556.1	14	YP_009043556.1
57281	YP_009291556.1	14	YP_009291556.1
104096	YP_010582240.1	14	YP_010582240.1
2419	NP_049466.1	14	NP_049466.1
99589	YP_010111822.1	14	YP_010111822.1
85290	YP_009842592.1	14	YP_009842592.1
56748	YP_009286046.1	14	YP_009286046.1
99410	YP_010111177.1	14	YP_010111177.1
67014	YP_009596385.1	14	YP_009596385.1
56630	YP_009284741.1	14	YP_009284741.1
101925	YP_010355641.1	14	YP_010355641.1
58287	YP_009303746.1	14	YP_009303746.1
56678	YP_009285431.1	14	YP_009285431.1
3954	NP_203200.1	14	NP_203200.1
3951	NP_150589.1	14	NP_150589.1
24289	YP_007002432.1	14	YP_007002432.1
24288	YP_007002431.1	14	YP_007002431.1
18625	YP_004508725.1	14	YP_004508725.1
33780	YP_008431041.1	14	YP_008431041.1
56810	YP_009286593.1	14	YP_009286593.1
57691	YP_009301402.1	14	YP_009301402.1
84149	YP_009835885.1	14	YP_009835885.1
57707	YP_009301541.1	14	YP_009301541.1
103780	YP_010509671.1	14	YP_010509671.1
4463	NP_570588.1	14	NP_570588.1
29332	YP_007676306.1	14	YP_007676306.1
24304	YP_007002524.1	14	YP_007002524.1
58062	YP_009302875.1	14	YP_009302875.1
39452	YP_009042721.1	14	YP_009042721.1
12248	YP_002003708.1	14	YP_002003708.1
57248	YP_009291122.1	14	YP_009291122.1
39499	YP_009042963.1	14	YP_009042963.1
56880	YP_009287612.1	14	YP_009287612.1
110318	YP_010672650.1	14	YP_010672650.1
65951	YP_009592674.1	14	YP_009592674.1
65952	YP_009592704.1	14	YP_009592704.1
84980	YP_009841272.1	14	YP_009841272.1
5259	NP_758429.1	14	NP_758429.1
56838	YP_009287321.1	14	YP_009287321.1
39062	YP_009036118.1	14	YP_009036118.1
56604	YP_009284626.1	14	YP_009284626.1
39500	YP_009042964.1	14	YP_009042964.1
24302	YP_007002521.1	14	YP_007002521.1
38817	YP_009031503.1	14	YP_009031503.1
24301	YP_007002520.1	14	YP_007002520.1
56826	YP_009287041.1	14	YP_009287041.1
2520	NP_050277.1	14	NP_050277.1
80007	YP_009811723.1	14	YP_009811723.1
109239	YP_010669396.1	14	YP_010669396.1
9676	YP_001468619.1	14	YP_001468619.1
9674	YP_001468614.1	14	YP_001468614.1
9672	YP_001468609.1	14	YP_001468609.1
9670	YP_001468605.1	14	YP_001468605.1
9668	YP_001468593.1	14	YP_001468593.1
9667	YP_001468592.1	14	YP_001468592.1
9666	YP_001468588.1	14	YP_001468588.1
9662	YP_001468579.1	14	YP_001468579.1
37254	YP_009012015.1	14	YP_009012015.1
9653	YP_001468551.1	14	YP_001468551.1
9652	YP_001468550.1	14	YP_001468550.1
54355	YP_009238608.1	14	YP_009238608.1
9651	YP_001468548.1	14	YP_001468548.1
106174	YP_010655783.1	14	YP_010655783.1
106181	YP_010655801.1	14	YP_010655801.1
82976	YP_009829923.1	14	YP_009829923.1
9645	YP_001468526.1	14	YP_001468526.1
54431	YP_009241361.1	14	YP_009241361.1
9644	YP_001468510.1	14	YP_001468510.1
9641	YP_001468500.1	14	YP_001468500.1
35119	YP_008858981.1	14	YP_008858981.1
17013	YP_004300601.1	14	YP_004300601.1
9640	YP_001468499.1	14	YP_001468499.1
4737	NP_620302.1	14	3IYM_B
9675	YP_001468616.1	14	YP_001468616.1
9677	YP_001468621.1	14	YP_001468621.1
9637	YP_001468461.1	14	YP_001468461.1
80978	YP_009816279.1	14	YP_009816279.1
64096	YP_009482876.1	14	YP_009482876.1
59166	YP_009324722.1	14	YP_009324722.1
108191	YP_010665273.1	14	YP_010665273.1
86966	YP_009849561.1	14	YP_009849561.1
59286	YP_009325786.1	14	6NCL_c6
80830	YP_009815668.1	14	YP_009815668.1
63783	YP_009481415.1	14	YP_009481415.1
100593	YP_010246412.1	14	YP_010246412.1
63770	YP_009481307.1	14	YP_009481307.1
63734	YP_009481099.1	14	YP_009481099.1
11038	YP_001671795.1	14	YP_001671795.1
106054	YP_010655468.1	14	YP_010655468.1
4722	NP_619807.1	14	4PDC_E
9686	YP_001468636.1	14	YP_001468636.1
87063	YP_009850130.1	14	YP_009850130.1
4989	NP_689402.1	14	NP_689402.1
9683	YP_001468631.1	14	YP_001468631.1
9681	YP_001468629.1	14	YP_001468629.1
9679	YP_001468624.1	14	YP_001468624.1
80953	YP_009816235.1	14	YP_009816235.1
4978	NP_680532.1	14	NP_680532.1
80970	YP_009816263.1	14	YP_009816263.1
9678	YP_001468623.1	14	YP_001468623.1
63133	YP_009448906.1	14	YP_009448906.1
4950	NP_666547.1	14	NP_666547.1
101001	YP_010299686.1	14	YP_010299686.1
107296	YP_010660528.1	14	YP_010660528.1
107281	YP_010660509.1	14	YP_010660509.1
62229	YP_009362798.1	14	2KEL_A
36925	YP_009009909.1	14	YP_009009909.1
107268	YP_010660492.1	14	YP_010660492.1
17499	YP_004306512.1	14	YP_004306512.1
36811	YP_009008939.1	14	YP_009008939.1
36808	YP_009008921.1	14	YP_009008921.1
82238	YP_009821129.1	14	7DQG_A
60277	YP_009337159.1	14	YP_009337159.1
3191	NP_076697.1	14	NP_076697.1
40738	YP_009098482.1	14	YP_009098482.1
54744	YP_009259255.1	14	YP_009259255.1
106639	YP_010657620.1	14	YP_010657620.1
25355	YP_007006363.1	14	YP_007006363.1
60823	YP_009345142.1	14	YP_009345142.1
9520	YP_001467947.1	14	8ED0_A
36284	YP_009005820.1	14	YP_009005820.1
36280	YP_009005809.1	14	YP_009005809.1
55005	YP_009272892.1	14	YP_009272892.1
61004	YP_009345886.1	14	1UTY_B
54909	YP_009269158.1	14	YP_009269158.1
61235	YP_009352499.1	14	YP_009352499.1
61487	YP_009352802.1	14	YP_009352802.1
23589	YP_006987325.1	14	YP_006987325.1
36934	YP_009010062.1	14	YP_009010062.1
9636	YP_001468458.1	14	YP_001468458.1
36004	YP_009004333.1	14	YP_009004333.1
9635	YP_001468456.1	14	YP_001468456.1
35152	YP_008869195.1	14	YP_008869195.1
40358	YP_009055625.1	14	YP_009055625.1
62664	YP_009448150.1	14	YP_009448150.1
35222	YP_008873290.1	14	YP_008873290.1
82866	YP_009824185.1	14	YP_009824185.1
54542	YP_009252316.1	14	YP_009252316.1
87852	YP_009854641.1	14	YP_009854641.1
62511	YP_009430065.1	14	YP_009430065.1
37166	YP_009011008.1	14	3M1C_A
35271	YP_008877635.1	14	YP_008877635.1
62463	YP_009408542.1	14	YP_009408542.1
59751	YP_009330244.1	14	YP_009330244.1
3088	NP_073530.1	14	NP_073530.1
3395	NP_078703.1	14	NP_078703.1
35762	YP_009002927.1	14	YP_009002927.1
106383	YP_010656610.1	14	YP_010656610.1
17165	YP_004301059.1	14	YP_004301059.1
81963	YP_009820469.1	14	YP_009820469.1
117162	YP_655924.1	14	YP_655924.1
17178	YP_004301093.1	14	YP_004301093.1
59947	YP_009333502.1	14	YP_009333502.1
36002	YP_009004326.1	14	YP_009004326.1
88318	YP_009859328.1	14	YP_009859328.1
64128	YP_009483117.1	14	YP_009483117.1
26156	YP_007007852.1	14	YP_007007852.1
64751	YP_009507750.1	14	YP_009507750.1
58582	YP_009310235.1	14	YP_009310235.1
89317	YP_009880792.1	14	YP_009880792.1
29280	YP_007676136.1	14	YP_007676136.1
56453	YP_009281781.1	14	1LUZ_A
89314	YP_009880780.1	14	YP_009880780.1
89306	YP_009880520.1	14	YP_009880520.1
101322	YP_010303416.1	14	YP_010303416.1
58621	YP_009310447.1	14	2VTW_A
89288	YP_009880438.1	14	YP_009880438.1
101313	YP_010303391.1	14	YP_010303391.1
60	1QEY_A	14	1QEY_A
19923	YP_004934789.1	14	YP_004934789.1
101301	YP_010303314.1	14	YP_010303314.1
105137	YP_010649514.1	14	YP_010649514.1
89233	YP_009880022.1	14	YP_009880022.1
101290	YP_010303220.1	14	YP_010303220.1
101288	YP_010303215.1	14	YP_010303215.1
101280	YP_010303186.1	14	YP_010303186.1
34450	YP_008766949.1	14	YP_008766949.1
53193	YP_009223487.1	14	YP_009223487.1
101275	YP_010303177.1	14	YP_010303177.1
101272	YP_010303171.1	14	YP_010303171.1
83853	YP_009834290.1	14	YP_009834290.1
101334	YP_010303439.1	14	YP_010303439.1
16412	YP_004010212.1	14	YP_004010212.1
79993	YP_009811505.1	14	YP_009811505.1
56457	YP_009281925.1	14	YP_009281925.1
52898	YP_009222564.1	14	YP_009222564.1
26155	YP_007007846.1	14	YP_007007846.1
